VOC,NOX,24NOX,M1M1O3
0,1,5.64229463,9.06324599
0,1.2,7.45648806,7.161041934
0,1.4,9.377721172,5.853737517
0,1.6,11.34874821,4.90558227
0,1.8,13.28291603,4.218995669
0,2,15.18363702,3.699925077
0,2.2,17.05975877,3.294101665
0,2.4,18.91776715,2.967968685
0,2.6,20.76193612,2.700586324
0,2.8,22.59529112,2.477746022
0,3,24.41971579,2.289561641
0,3.2,26.23696151,2.128913069
0,3.4,28.04803691,1.990545021
0,3.6,29.8538481,1.870396368
0,3.8,31.65530687,1.765401095
0,4,33.452665,1.673130401
0,5,42.38962884,1.351506295
0,6,51.26196367,1.185432291
0,7,60.08083422,1.093903426
0,8,68.85358639,1.048592987
0,9,77.58387231,1.038803689
0,10,86.28051859,1.048985099
0,11,94.94857348,1.069854602
0,12,103.5904634,1.097610603
0,13,112.2134574,1.129846692
0,14,120.817447,1.164997873
0,15,129.4056722,1.202070428
0,16,137.9792983,1.240390597
0,17,146.5394275,1.27951199
0,18,155.0865505,1.31912132
0,19,163.6203949,1.359006758
0,20,172.1442575,1.399000368
0,21,180.6571048,1.43899653
0,22,189.1591476,1.478911111
0,23,197.654327,1.518655493
0,24,206.137956,1.558215794
0,25,214.6132597,1.597534772
0,26,223.0781128,1.6366098
0,27,231.5350308,1.675407949
0,28,239.9804326,1.713946426
0,29,248.4208889,1.7521261
0,30,256.8525185,1.789987816
0,31,265.2772493,1.827550418
0,32,273.6950881,1.864789384
0,33,282.1039239,1.901681298
0,34,290.5047504,1.938250073
0.9,1,3.261689739,27.35264837
0.9,1.2,4.35784402,25.37998771
0.9,1.4,5.800153818,22.49328467
0.9,1.6,7.432135548,19.46638367
0.9,1.8,9.190364737,16.38143119
0.9,2,11.04961709,13.85275268
0.9,2.2,12.98571561,11.8504457
0.9,2.4,14.97243602,10.23416081
0.9,2.6,16.99491345,8.933219583
0.9,2.8,19.01978949,7.892933947
0.9,3,21.01246087,7.057771621
0.9,3.2,22.97291894,6.376018169
0.9,3.4,24.9081793,5.807977403
0.9,3.6,26.82232746,5.328860063
0.9,3.8,28.71895942,4.920313613
0.9,4,30.60129522,4.568009785
0.9,4.2,32.47214252,4.260809258
0.9,4.4,34.33314275,3.991351287
0.9,4.6,36.18483454,3.753664897
0.9,4.8,38.02927519,3.542078383
0.9,5,39.86790545,3.352643349
0.9,6,48.98492096,2.648939454
0.9,7,58.0156567,2.199883001
0.9,8,66.98821399,1.912118219
0.9,9,75.91472882,1.715079305
0.9,10,84.80061416,1.576782781
0.9,11,93.64755659,1.480799497
0.9,12,102.4529342,1.41658845
0.9,13,111.2223535,1.376661374
0.9,14,119.9533274,1.362421842
0.9,15,128.6481175,1.362385137
0.9,16,137.3100957,1.372019089
0.9,17,145.9429858,1.388867964
0.9,18,154.550718,1.411052853
0.9,19,163.1360534,1.437166863
0.9,20,171.7008876,1.466159616
0.9,21,180.2500207,1.497253858
0.9,22,188.7824051,1.529904296
0.9,23,197.3001787,1.563653834
0.9,24,205.8060693,1.598197429
0.9,25,214.2987381,1.63329196
0.9,26,222.7814057,1.668777863
0.9,27,231.2512192,1.704504574
0.9,28,239.7124996,1.740341668
0.9,29,248.1655738,1.776196709
0.9,30,256.6043787,1.812052672
0.9,31,265.0369985,1.84784732
0.9,32,273.4595137,1.883502699
0.9,33,281.8760327,1.919018011
0.9,34,290.2825714,1.954328691
1.8,1,2.820768197,35.27984707
1.8,1.2,3.469047118,36.83794419
1.8,1.4,4.205815373,37.35600408
1.8,1.6,5.10214465,36.56441568
1.8,1.8,6.250780803,34.48385395
1.8,2,7.661460634,31.76419355
1.8,2.2,9.255780142,28.70988722
1.8,2.4,10.98376886,25.21908414
1.8,2.6,12.81980798,22.05661126
1.8,2.8,14.74083258,19.32683944
1.8,3,16.72956037,16.95628578
1.8,3.2,18.76842853,14.9824369
1.8,3.4,20.8345451,13.28364841
1.8,3.6,22.90336396,11.85914136
1.8,3.8,24.96360313,10.6817455
1.8,4,26.99698865,9.702824576
1.8,4.2,29.00113049,8.875850782
1.8,4.4,30.97770443,8.171737205
1.8,4.6,32.93248607,7.563564674
1.8,4.8,34.86771074,7.035509862
1.8,5,36.7876292,6.571151283
1.8,5.2,38.69277018,6.162623036
1.8,5.4,40.58605215,5.799645503
