AX	AY	BX	BY	CX	CY	DX	DY	EX	EY	FX	FY	GX	GY	HX	HY	IX	IY	JX	JY	KX	KY	LX	LY	MX	MY	NX	NY	OX	OY	PX	PY	QX	QY	RX	RY	SX	SY	TX	TY	UX	UY
2.065516745	21.31044868	1.837824313	31.64230757	1.730205196	35.56419762	1.642137107	37.23266566	1.571271668	37.98498891	1.514779049	38.30167263	1.469452832	38.41392927	1.432580347	38.43350414	1.402160088	38.40931049	1.376684425	38.36599897	1.355140232	38.31361206	1.336589654	38.26373152	1.320433949	38.21945871	1.306318711	38.17707687	1.293881268	38.13918653	1.282814989	38.10594763	1.272905247	38.0770524	1.264007323	38.05109919	1.255863548	38.03256965	1.248522062	38.01383563	1.241806223	37.99763851
6.771497062	14.57775825	4.019185369	37.58003456	3.562907069	48.51582774	3.350298836	53.96180981	3.20358602	57.03089785	3.089566644	58.96702772	2.996348417	60.13161146	2.917787303	60.83877913	2.850386089	61.2630069	2.791631464	61.51467549	2.739801945	61.65734305	2.693863669	61.72339045	2.652791261	61.73974953	2.615897976	61.72115633	2.582570802	61.68054938	2.552310715	61.62653256	2.524680897	61.56518665	2.499499981	61.49567248	2.476434361	61.42222396	2.45524944	61.34616175	2.435750014	61.27022055
12.26703871	12.39195536	7.922331147	30.38434895	5.563400846	53.1922198	5.028855502	63.37324697	4.748315895	69.19641734	4.557264633	72.89699713	4.412252022	75.50944594	4.295457194	77.29279087	4.197719623	78.51522789	4.113998688	79.35853887	4.041047243	79.93687762	3.976466988	80.33352826	3.918739598	80.60074554	3.866762368	80.77228002	3.819549915	80.87544063	3.776394254	80.92881604	3.736727632	80.94548859	3.700121774	80.93399241	3.666123804	80.90416389	3.634472211	80.85940311	3.60492464	80.80432677
18.07595482	10.36585914	13.62039713	23.87614512	8.483116182	49.2898464	6.863607328	68.0374137	6.320166637	77.26809629	6.002713446	83.08154843	5.780556859	87.05891998	5.610787489	90.05487186	5.473904247	92.2431849	5.359658098	93.842181	5.261925726	95.02039923	5.176608498	95.8922776	5.101291766	96.53597452	5.034051002	97.0072276	4.97340585	97.35065878	4.918332888	97.59477768	4.86800607	97.76288095	4.821775315	97.87203224	4.779083596	97.93561394	4.739485242	97.96298715	4.70262698	97.96246943
23.89150061	9.299060504	19.5748136	20.15352542	13.63383727	39.22711204	9.19522531	67.35610979	8.027246507	82.11509687	7.49604039	90.4954502	7.158949855	96.15648728	6.915337346	100.2318433	6.726220153	103.4604466	6.572611614	105.9052283	6.443900163	107.7674398	6.333452514	109.1995501	6.237129337	110.3020276	6.151930565	111.1546479	6.075703957	111.8141821	6.007022306	112.3194302	5.94465888	112.7026599	5.887670464	112.9914538	5.835231731	113.2035062	5.786890451	113.3536486	5.74209463	113.4538944
29.6186348	8.797601068	25.50195683	17.08703249	19.93391743	32.09434784	13.01813592	59.09482501	10.04396324	83.39787164	9.103654173	95.52910535	8.590239414	103.1934483	8.243214586	108.6494647	7.984583084	112.7501167	7.780465688	116.1098492	7.612761544	118.7121765	7.471719976	120.7619172	7.350148018	122.3756237	7.243705063	123.6600398	7.149312541	124.6850196	7.064965175	125.4974476	6.988735531	126.1444855	6.91943199	126.6563135	6.856033411	127.0593345	6.797821019	127.370306	6.744052653	127.6081482
35.29522483	8.536696825	31.60868311	14.77779491	26.52789758	26.80229522	18.91838105	48.27967937	12.8253943	79.41132402	10.92693147	97.99863032	10.1186573	108.3814523	9.623411635	115.4495545	9.272001835	120.6866916	9.003228986	124.7943409	8.787283118	128.2038379	8.608332105	130.9085781	8.456415958	133.0752936	8.324823181	134.8285642	8.209271794	136.2507	8.106611378	137.4081421	8.014506393	138.3512369	7.931136335	139.1173947	7.855355982	139.7402471	7.786052403	140.2437279	7.722089625	140.6477402
40.94263563	8.393665042	37.71775779	13.07795469	33.08046758	22.44338069	25.86260799	39.79851861	17.37806486	69.02046122	13.18399224	96.99030005	11.80920531	111.6139248	11.08779281	120.7543728	10.60976386	127.3175238	10.25692788	132.3401359	9.980946408	136.4484436	9.75609107	139.8594568	9.567698823	142.6185558	9.406243547	144.8751631	9.266123213	146.7228977	9.142318271	148.251222	9.032046845	149.5143449	8.932822736	150.5620609	8.843013309	151.4304843	8.761078076	152.1488587	8.686002493	152.7409154
46.57084099	8.319237205	43.69653795	11.9490289	39.37732005	19.65276262	33.15269666	32.83728596	23.88297145	57.35890831	16.41003538	90.80182652	13.78140096	112.4001348	12.68047524	124.5070498	12.02055618	132.7113493	11.55817337	138.8534302	11.20628828	143.6637655	10.92527999	147.7746634	10.69341097	151.1596085	10.49708605	153.9433476	10.32777273	156.2531056	10.17993155	158.1733448	10.04897253	159.7760753	9.931665924	161.1247496	9.825947839	162.2573899	9.729922997	163.2089052	9.642350165	164.008525
52.18755403	8.325215142	49.58881032	11.21847494	45.75000415	17.20828544	40.36959104	27.44090318	31.50301345	47.37127569	21.53633024	79.14064444	16.29290608	109.6734189	14.47479013	126.4235808	13.53807775	136.8361265	12.92535868	144.3141424	12.47642249	150.0817925	12.12633431	154.7395669	11.8419655	158.808218	11.60459379	162.1541999	11.40173847	164.9415158	11.22560415	167.278941	11.0709999	169.2464166	10.93333416	170.9138064	10.8096631	172.3272128	10.69822829	173.5249775	10.59654322	174.5456891
57.7957304	8.350260861	55.4215605	10.72921377	52.00554088	15.36136671	47.26184322	23.6878078	39.53423005	38.49976574	28.59595337	66.42868036	19.92039875	101.9815337	16.60950824	125.8844849	15.20948987	139.5106143	14.38198831	148.7049721	13.8060437	155.5914126	13.36962619	161.0351079	13.02201419	165.6268741	12.73557951	169.5828875	12.49364195	172.8826346	12.28526762	175.6577964	12.10331925	178.0084236	11.94252562	180.0100358	11.79898368	181.7200095	11.66972759	183.1818987	11.55261473	184.4350118
63.39888593	8.386286425	61.21077301	10.36881621	58.12866151	14.03186811	53.78980656	21.01201558	47.43878771	32.07845238	36.9251293	54.61449777	25.52266156	89.37529235	19.36805378	121.8467061	17.11863724	140.3662437	15.96287557	151.9118801	15.21341254	160.1827473	14.66708574	166.5792263	14.2418463	171.7365863	13.89706201	176.2837744	13.60908537	180.1335976	13.36379994	183.3722209	13.15074572	186.126678	12.96370956	188.478843	12.79743804	190.4998859	12.6486532	192.2383648	12.51403803	193.7424709
68.99854797	8.428402598	66.96731156	10.09756053	64.15652197	13.0422195	60.29319567	18.57255593	54.96463515	27.58729257	45.73803406	43.90007745	33.11684196	75.43176345	23.35452172	113.0656026	19.41859465	138.7487897	17.72181279	153.7042874	16.72403831	163.7799075	16.03316304	171.3243642	15.51165948	177.3041693	15.09638058	182.2808792	14.75450303	186.7293339	14.46574326	190.4715616	14.21750848	193.6513998	14.00069304	196.3722884	13.80915519	198.7173742	13.63796732	200.7511551	13.48421892	202.5106404
74.59618776	8.473474024	72.69964241	9.889709615	70.1130791	12.37039787	66.62779257	16.75273332	61.9042375	24.33235504	54.351947	36.44275857	42.18995458	61.50170782	29.37633802	99.64364119	22.41040891	133.6962627	19.75077306	153.6699335	18.3756203	166.2316683	17.48786632	175.2149865	16.84292967	182.1671135	16.34195807	187.7903798	15.93574032	192.6949382	15.59682526	196.9785915	15.30773555	200.6153347	15.05728406	203.731248	14.83690949	206.4204825	14.64162218	208.7511834	14.46610584	210.7834193
80.19284142	8.519507003	78.41179668	9.745209434	76.01679851	11.85286897	72.83824168	15.3772381	68.59123429	21.56269836	62.51133902	31.23404411	51.81225456	49.09346973	37.49927456	84.29107866	26.72466762	124.0630441	22.2129097	151.1624437	20.22731954	167.271362	19.05811143	178.150774	18.25135331	186.2854277	17.64328288	192.7450505	17.16031835	198.052586	16.7622773	202.9136624	16.42618976	207.0433162	16.13703411	210.5790747	15.88464663	213.6297784	15.66178288	216.2794761	15.4627955	218.5908629
85.78799429	8.565178985	84.10977303	9.652688046	81.87598348	11.44169301	78.9526825	14.31193883	75.12045385	19.3049847	70.02749837	27.33103417	61.15900563	40.58189354	47.344175	68.08755239	33.1358778	109.8695921	25.42587985	145.3028147	22.3774941	166.4734402	20.78521374	179.950247	19.75797749	189.5869032	19.01343794	197.0397768	18.4357957	203.0802652	17.96809423	208.2747687	17.57748036	212.9510163	17.24416036	216.9371249	16.95524345	220.3747288	16.7014086	223.3600417	16.47600687	225.96874
91.38349473	8.609648516	89.79541279	9.581193943	87.70482569	11.10951615	84.9939634	13.52186322	81.49751741	17.5813224	76.91544799	24.31579875	69.95959542	34.6511179	57.801027	54.09757492	41.79546012	92.91003534	30.04812306	134.9545212	24.99674283	163.2248157	22.73271626	180.3291015	21.39199922	191.9465167	20.46848632	200.6252382	19.77334361	207.5164402	19.22067908	213.1892784	18.76613167	218.3312592	18.38282588	222.8175311	18.05241355	226.6695414	17.76389049	230.012514	17.50878953	232.9333219
96.97946819	8.652443234	95.47049377	9.525568405	93.50365059	10.83787322	90.97767945	12.9236506	87.75910971	16.23427616	83.62421023	21.68215434	78.06346684	30.22639619	67.90239168	44.51732785	52.43296337	74.4347832	36.83716303	119.9777994	28.42389309	156.6947596	25.00365065	178.8670532	23.1980768	193.1654864	22.03039207	203.4104308	21.18564941	211.3260702	20.530725	217.7444944	20.00019395	223.1910184	19.55708088	228.2122443	19.17938741	232.5164915	18.85165216	236.2433599	18.56402413	239.5016329
102.5756949	8.693157923	101.1380922	9.482032823	99.27971673	10.61293771	96.91474427	12.43403037	93.93103279	15.16022764	90.15546977	19.64548965	85.27816097	26.80192664	77.35168861	37.86189948	63.74458658	58.91110017	46.0519162	101.2012993	33.34506134	145.699241	27.77614608	174.9892436	25.24297264	192.9564285	23.73200055	205.2516705	22.69006135	214.4422627	21.90738191	221.7325058	21.28555136	227.7480581	20.77382507	233.1310214	20.34134208	237.9242045	19.96927259	242.0689057	19.64386978	245.6777499
