Station,Year,24NOX,M1M1O3
HK_AVE,2000,126.0794327,20.33458409
HK_AVE,2001,130.6559692,23.37327398
HK_AVE,2002,128.0775214,22.31232738
HK_AVE,2003,118.8421219,26.40806409
HK_AVE,2004,113.2967009,31.65154314
HK_AVE,2005,116.0208133,25.39244113
HK_AVE,2006,114.5258002,25.03528764
HK_AVE,2007,109.1932286,26.80294079
HK_AVE,2008,108.3327467,26.83230961
HK_AVE,2009,97.6731039,28.16593644
HK_AVE,2010,101.1375358,25.85964977
HK_AVE,2011,100.6151902,24.42994786
HK_AVE,2012,97.75962333,21.9752007
HK_AVE,2013,101.3093295,23.17286337
HK_AVE,2014,80.88033075,25.23925219
HK_AVE,2015,69.97053494,25.54380613
HK_AVE,2016,63.27542335,24.96502751
HK_AVE,2017,58.67732885,27.73799237
HK_AVE,2018,56.03668552,27.00825321
HK_AVE,2019,52.05660496,30.96861275
HK_AVE,2020,43.12321128,28.01141412
HK_AVE,2021,44.74988341,29.23765562
HK_AVE,2022,39.86702115,28.10473055
HK_AVE,2023,40.32695586,28.64366716
HK_AVE,2024,40.06903213,27.82038438
CAUSEWAY_BAY,2011,240.2680214,7.742004767
CAUSEWAY_BAY,2012,218.458984,8.799039641
CAUSEWAY_BAY,2013,219.4163067,8.753126941
CAUSEWAY_BAY,2014,165.3021015,12.2253135
CAUSEWAY_BAY,2015,172.5868899,10.4050912
CAUSEWAY_BAY,2016,169.3316721,9.66696412
CAUSEWAY_BAY,2017,201.3471392,10.76650565
CAUSEWAY_BAY,2018,180.4306124,12.16829858
CAUSEWAY_BAY,2019,154.2677549,16.45456727
CAUSEWAY_BAY,2020,128.208257,15.58319904
CAUSEWAY_BAY,2021,139.6382536,15.11357027
CAUSEWAY_BAY,2022,124.6420864,16.90966296
CAUSEWAY_BAY,2023,127.0156373,17.39401493
CAUSEWAY_BAY,2024,132.2670404,16.63251552
CENTRAL,2011,226.5973225,9.617147831
CENTRAL,2012,210.0817372,10.02419739
CENTRAL,2013,228.6103622,9.061210313
CENTRAL,2014,172.6789735,13.79577515
CENTRAL,2015,141.0928879,14.2338224
CENTRAL,2016,127.1649479,14.78721531
CENTRAL,2017,118.5736558,16.154239
CENTRAL,2018,126.7868132,15.0217797
CENTRAL,2019,115.6548526,19.79381199
CENTRAL,2020,101.8820308,17.53710007
CENTRAL,2021,101.3176484,17.19449494
CENTRAL,2022,88.78423655,18.85395084
